Denumire medicament,Substanta activa,Lista de compensare,Cod medicament,Formă farmaceutica,Cod ATC,Mod de prescriere,Concentratie,Forma de ambalare,Nume detinator APP,Tara detinator APP,Cantitate pe forma ambalare,Preț maximal al medicamentului raportat la forma de ambalare,Pret maximal al medicamentului raportat la UT,"Contributie maxima a asiguratului raportat la UT, pentru asiguratii care beneficiază de compensare 100% din prețul de referinta","Contributie maxima a asiguratului raportat la UT, pentru asiguratii care beneficiaza de compensare 90% - sublista A, 50% - sublista B, 20% - sublista D din prețul de referinta","Contribuție maxima a asiguratului raportat la UT, pentru asiguratii care beneficiază de compensare 90% din pretul de referinta, pentru pensionari cu venituri de pana la 1.299 lei/luna inclusiv"
NITROMINT,NITROGLYCERINUM,A,W07257002,SPRAY SUBLINGUAL,C01DA02,P-6L,"0,4mg/doza",CUTIE X 1 FLACON DIN PLASTIC X 10G (180 DOZE) SPRAY SUBLINGUAL,EGIS PHARMACEUTICALS P.L.C.,UNGARIA,1,1344,13440000,0000000,1344000,
ISOSORBID DINITRAT 10 mg,ISOSORBIDI DINITRAS,A,W44053001,COMPR.,C01DA08,P-6L,10mg,"CUTIE X 3, BLIST. AL/PVC X 20 COMPR.",E.I.P.I.CO. MED S.R.L.,ROMANIA,60,402,0067000,0002141,0008627,
OLICARD 40 mg RETARD,ISOSORBIDI MONONITRAS,A,W62347001,CAPS. ELIB. PREL.,C01DA14,P-6L,40mg,CUTIE X 2 BLIST. PVC/AL X 10 CAPS. ELIB. PREL.,MYLAN HEALTHCARE GMBH,GERMANIA,20,948,0474000,0084839,0123756,
MONONITRON EP 60 mg,ISOSORBIDI MONONITRAS,A,W13871002,COMPR. ELIB. PREL.,C01DA14,P-6L,60mg,CUTIE CU 4 BLIST. PVC/AL X 10 COMPR. ELIB. PREL.,ZENTIVA S.A,ROMANIA,40,4047,1011750,0428009,0486384,
PRIDAX 20mcg,ALPROSTADILUM,A,W53697001,CONC. PT. SOL. PERF.,C01EA01,PR/PRF,20mcg,CUTIE X 5 FLAC. X 1 ML CONC. PT. SOL. PERF,GEBRO PHARMA GMBH,AUSTRIA,5,24199,48398000,0000000,4839800,
ALPROSTADIL ROMPHARM 20 micrograme,ALPROSTADILUM,A,W66688003,PULB. PT. SOL. PERF.,C01EA01,PR/PRF,20micrograme,CUTIE CU 15 FLAC. DE STICLA DE TIP I,ROMPHARM COMPANY S.R.L.,ROMANIA,15,74616,49744000,0336500,5277250,
VASAPROSTAN 20 µg/ml,ALPROSTADILUM,A,W58530002,PULB. PT. SOL. PERF.,C01EA01,PRF,20µg/ml,"CUTIE CU 15 FIOLE DIN STICLA INCOLORA CU PUNCT DE RUPERE, CU CAPACITATE DE 5 ML, CONTINÂND 48,2 MG PULB. PT. SOL. PERF.",UCB PHARMA GMBH,GERMANIA,15,90583,60388666,10981166,15921916,
VASAPROSTAN 20 µg/ml,ALPROSTADILUM,A,W67213002,PULB. PT. SOL. PERF.,C01EA01,PRF,20µg/ml,"CUTIE CU 15 FIOLE DIN STICLA INCOLORA,DE TIP I, CU PUNCT DE RUPERE, CU CAPACITATE DE 5 ML, CONTINÂND 48,2 MG PULB. PT. SOL. PERF.",AMDIPHARM LIMITED,IRLANDA,15,90583,60388666,10981166,15921916,
DOPEGYT,METHYLDOPUM,A,W04208001,COMPR.,C02AB01,P-6L,250mg,CUTIE X 1 FLAC. X 50 COMPR.,EGIS PHARMACEUTICALS P.L.C.,UNGARIA,50,2968,0593600,0000000,0059360,
"CLONIDINA SINTOFARM 0,15 mg",CLONIDINUM,A,W01369003,COMPR.,C02AC01,P-6L,"0,15mg",CUTIE X 5 BLIST. AL/PVC X 10 COMPR.,SINTOFARM SA,ROMANIA,50,1370,0274000,0027400,0052060,
"CLONIDINA ARENA 0,15 mg",CLONIDINUM,A,W60265001,COMPR.,C02AC01,P6L,"0,15mg",CUTIE CU 5 BLIST. PVC/AL X 10 COMPR.,ARENA GROUP S.A.,ROMANIA,50,1370,0274000,0027400,0052060,
CARDURA XL 4 mg (vezi G04CAN1),DOXAZOSINUM,A,W65031002,COMPR. ELIB. MODIF.,C02CA04,P-6L,4mg,CUTIE X 4 BLIST. AL-PA-PVDC/AL-PVDC X 7 COMPR. ELIB. PREL.,PFIZER EUROPE MA EEIG,BELGIA,28,2864,1022857,0454808,0511613,
CARDURA XL 4 mg (vezi G04CAN1),DOXAZOSINUM,A,W67252002,COMPR. ELIB. MODIF.,C02CA04,P6L,4mg,CUTIE X 4 BLIST. AL-PA-PVDC/AL-PVDC X 7 COMPR. ELIB. MODIF.,UPJOHN EESV,OLANDA,28,2864,1022857,0454808,0511613,
NEFRIX 25 mg,HYDROCHLOROTHIAZIDUM,A,W43198002,COMPR.,C03AA03,P-6L,25mg,CUTIE X 1 BLIST. AL/PVC X 25 COMPR.,ZENTIVA SA,ROMANIA,25,924,0369600,0000000,0036960,
"INDAPAMIDA SLAVIA 1,5 mg",INDAPAMIDUM,A,W62788001,COMPR. CU ELIB. PREL.,C03BA11,P6L,"1,5mg",CUTIE CU 3 BLIST. PVC/AL X 10 COMPR. CU ELIB. PREL.,SLAVIA PHARM S.R.L.,ROMANIA,30,1117,0372333,0035733,0069393,
"INDAPAMIDA TERAPIA 1,5 mg",INDAPAMIDUM,A,W56973001,COMPR. CU ELIB. PRELUNGITA,C03BA11,P-6L,"1,5mg",CUTIE X 3 BLIST. AL/PVC X 10 COMPR. CU ELIB. PREL.,TERAPIA SA,ROMANIA,30,1122,0374000,0037400,0071060,
"INDAPAMID SR ZENTIVA 1,5 mg",INDAPAMIDUM,A,W61972001,COMPR. ELIB. PREL,C03BA11,P6L,"1,5 mg",CUTIE CU 3 BLIST. PVC/AL X 10 COMPR. FILM. ELIB. PREL.,ZENTIVA S.A.,ROMANIA,30,1122,0374000,0037400,0071060,
"TERTENSIF SR 1,5 mg",INDAPAMIDUM,A,W03592001,COMPR. ELIB. PREL.,C03BA11,P-6L,"1,5mg",CUTIE X 2 BLIST. AL/PVC X 15 COMPR. ELIB. PREL.,LES LAB. SERVIER,FRANTA,30,1598,0532666,0196066,0229726,
"INDAPAMID LPH 1,5 mg",INDAPAMIDUM,A,W13662001,COMPR. ELIB. PREL.,C03BA11,P-6L,"1,5mg",CUTIE CU 3 BLIST. PVC/AL X 10 COMPR. ELIB. PREL.,LABORMED PHARMA SA,ROMANIA,30,1122,0374000,0037400,0071060,
"INDAPAMID MCC 1,5 mg",INDAPAMIDUM,A,W52005001,COMPR. ELIB. PREL.,C03BA11,P-6L,"1,5mg",CUTIE CU 3 BLIST. PVC/AL X 10 COMPR. ELIB. PREL.,MAGISTRA C&C SRL,ROMANIA,30,1122,0374000,0037400,0071060,
"IDUREN SR 1,5 mg",INDAPAMIDUM,A,W53212001,COMPR. ELIB. PREL.,C03BA11,P-6L,"1,5mg",CUTIE X 3 BLIST. OPA-AL-PVC/AL X 10 COMPR. ELIB. PREL.,VIM SPECTRUM SRL,ROMANIA,30,1122,0374000,0037400,0071060,
"INDAPAMIDA SR TORRENT 1,5 mg",INDAPAMIDUM,A,W56877001,COMPR. ELIB. PREL.,C03BA11,P6L,"1,5mg",CUTIE CU 3 BLIST. PVC/AL X 10 COMPR. ELIB. PREL.,TORRENT PHARMA S.R.L.,ROMANIA,30,1122,0374000,0037400,0071060,
"INDAPAMIDA ATB 1,5 mg",INDAPAMIDUM,A,W62164001,COMPR. ELIB. PREL.,C03BA11,P6L,"1,5mg",CUTIE CU 3 BLIST. PVC/AL X 10 COMPR. ELIB. PREL.,ANTIBIOTICE S.A.,ROMANIA,30,1122,0374000,0037400,0071060,
"INDAPAMIDA SR MEDREG 1,5 mg",INDAPAMIDUM,A,W67387001,COMPR. ELIB. PREL.,C03BA11,P6L,"1,5mg",CUTIE CU 3 BLIST. PVC/AL X 10 COMPR. ELIB. PREL.,MEDREG S.R.O.,REPUBLICA CEHA,30,1122,0374000,0037400,0071060,
"INDAPAMID LPH (R) 2,5 mg",INDAPAMIDUM,A,W13675001,COMPR. FILM.,C03BA11,P-6L,"2,5mg",CUTIE X 2 BLIST. AL/PVC X 15 COMPR. FILM.,LABORMED PHARMA SA,ROMANIA,30,1675,0558333,0000000,0055834,
"RAWEL SR 1,5 mg",INDAPAMIDUM,A,W43065002,COMPR. FILM. ELIB. PREL.,C03BA11,P-6L,"1,5mg",CUTIE X 3 BLIST. PVC-PVDC/AL X 10 COMPR. FILM. ELIB. PREL.,KRKA D.D. NOVO MESTO,SLOVENIA,30,766,0255333,0000000,0025534,
"IMPAMID SR 1,5 mg",INDAPAMIDUM,A,W52836001,COMPR. FILM. ELIB. PREL.,C03BA11,P-6L,"1,5mg",CUTIE X 2 BLIST. PVC-PVDC/AL X 15 COMPR. FILM. ELIB. PREL.,GEDEON RICHTER ROMANIA SA,ROMANIA,30,1122,0374000,0037400,0071060,
FUROSEMID MCC 40 mg,FUROSEMIDUM,A,W03265002,COMPR.,C03CA01,P-6L,40mg,CUTIE X 2 BLIST. AL/PVC X 10 COMPR.,MAGISTRA C&C S.R.L.,ROMANIA,20,542,0271000,0000000,0027100,
FUROSEMID SLAVIA,FUROSEMIDUM,A,W42036002,COMPR.,C03CA01,P-6L,40mg,CUTIE X 2 BLIST. AL/PVC X 10 COMPR.,SLAVIA PHARM SRL,ROMANIA,20,663,0331500,0045375,0073988,
FUROSEMID ZENTIVA,FUROSEMIDUM,A,W43155001,COMPR.,C03CA01,P-6L,40mg,CUTIE X 1 FLAC. DIN PEID X 20 COMPR.,ZENTIVA SA,ROMANIA,20,669,0334500,0048375,0076988,
FUROSEMID BIOEEL 40 mg,FUROSEMIDUM,A,W60369001,COMPR.,C03CA01,P-6L,40mg,CUTIE X 2 BLIST. X 10 COMPR.,BIO EEL SRL,ROMANIA,20,669,0334500,0048375,0076988,
FUROSEMID LPH 40 mg,FUROSEMIDUM,A,W03264003,COMPR.,C03CA01,P-6L,40mg,CUTIE X 3 BLIST. DIN PVC/AL X 10 COMPRIMATE,LABORMED PHARMA SA,ROMANIA,30,1003,0334333,0048208,0076821,
FUROSEMID MCC 40 mg,FUROSEMIDUM,A,W03265003,COMPR.,C03CA01,P6L,40mg,CUTIE CU 3 BLIST. PVC/AL X 10 COMPR.,MAGISTRA C&C S.R.L.,ROMANIA,30,504,0168000,0000000,0016800,
FUROSEMID HAMELN 10 mg/ml,FUROSEMIDUM,A,W65259002,SOL INJ.,C03CA01,PRF,10mg/ml,"CUTIE CU 10 FIOLE DIN STICLA BRUNA DE TIP I, PREVAZUTE CU PUNCT DE RUPERE A CATE 2 ML SOL. INJ.",HAMELN PHARMA PLUS GMBH,GERMANIA,10,1350,1350000,0000000,0135000,
FUROSEMID 20 mg/2 ml,FUROSEMIDUM,A,W58282001,SOL. INJ.,C03CA01,P-RF,10mg/ml,CUTIE X 5 FIOLE DIN STICLA BRUNA CU INEL DE RUPERE X 2 ML SOL. INJ.,ZENTIVA SA,ROMANIA,5,675,1350000,0000000,0135000,
VEROSPIRON,SPIRONOLACTONUM,A,W54824001,CAPS.,C03DA01,P-6L,100mg,CUTIE X 3 BLIST. AL/PVC X 10 CAPS.,GEDEON RICHTER ROMANIA SA,ROMANIA,30,2387,0795666,0000000,0079567,
SPIRONOLACTONA ARENA 25 mg,SPIRONOLACTONUM,A,W55360002,CAPS.,C03DA01,P-6L,25mg,CUTIE CU 5 BLIST. PVC/AL X 10 CAPS.,ARENA GROUP S.A.,ROMANIA,50,1981,0396200,0029034,0065751,
SPIRONOLACTONA LPH 25 mg,SPIRONOLACTONUM,A,W57830002,CAPS.,C03DA01,P6L,25mg,CUTIE CU 6 BLIST. PVC/AL X 10 CAPS.,LABORMED PHARMA S.A.,ROMANIA,60,2377,0396166,0029000,0065717,
VEROSPIRON,SPIRONOLACTONUM,A,W54823001,CAPS.,C03DA01,P-6L,50mg,CUTIE X 3 BLIST. AL/PVC X 10 CAPS.,GEDEON RICHTER ROMANIA SA,ROMANIA,30,1401,0467000,0000000,0046700,
SPIRONOLACTONA ARENA 50 mg,SPIRONOLACTONUM,A,W55359001,CAPS.,C03DA01,P-6L,50mg,CUTIE CU 3 BLIST. PVC/AL X 10 CAPS.,ARENA GROUP S.A.,ROMANIA,30,2203,0734333,0000000,0073434,
SPIRONOLACTONA BIOEEL 25 mg,SPIRONOLACTONUM,A,W60370001,COMPR.,C03DA01,P-6L,25mg,CUTIE X 2 BLIST. AL/PVC X 10 COMPR.,BIO EEL SRL,ROMANIA,20,792,0396000,0028834,0065551,
SPIRONOLACTONA TERAPIA 25 mg,SPIRONOLACTONUM,A,W08893001,COMPR. FILM.,C03DA01,P-6L,25mg,CUTIE X 5 BLIST. AL/PVC X 10 COMPR. FILM.,TERAPIA SA,ROMANIA,50,1981,0396200,0029034,0065751,
ALSPIRON 25 mg,SPIRONOLACTONUM,A,W52138001,COMPR. FILM.,C03DA01,P-6L,25mg,CUTIE X 2 BLIST. AL/PVC X 10 COMPR. FILM.,AC HELCOR PHARMA SRL,ROMANIA,20,792,0396000,0028834,0065551,
ALSPIRON 50 mg,SPIRONOLACTONUM,A,W41550001,COMPR. FILM.,C03DA01,P-6L,50mg,CUTIE X 2 BLIST. AL/PVC X 10 COMPR. FILM.,AC HELCOR PHARMA SRL,ROMANIA,20,1471,0735500,0001167,0074601,
DIUROCARD 50 mg/20 mg,COMBINATII (SPIRONOLACTONUM+FUROSEMIDUM),A,W58726003,CAPS.,C03EB01,P6L,50mg/20 mg,CUTIE CU 3 BLIST. PVC/AL X 10 CAPS.,LABORMED PHARMA S.A.,ROMANIA,30,3386,1128666,0000000,0112867,
DIUREX 50 mg/20 mg,COMBINATII (SPIRONOLACTONUM+FUROSEMIDUM),A,W07005001,CAPS.,C03EB01,P-6L,50mg/20mg,CUTIE CU 2 BLIST. PVC/AL X 10 CAPS.,TERAPIA SA,ROMANIA,20,2590,1295000,0073334,0195501,
DIOCOR 50 mg/20 mg,COMBINATII (SPIRONOLACTONUM+FUROSEMIDUM),A,W60585002,CAPS.,C03EB01,P6L,50mg/20mg,CUTIE CU 3 BLIST. PVC/AL X 10 CAPS.,SANIENCE S.R.L.,ROMANIA,30,3758,1252666,0031000,0153167,
DIOCOR 50 mg/20 mg,COMBINATII (SPIRONOLACTONUM+FUROSEMIDUM),A,W60585001,CAPS.,C03EB01,P6L,50mg/20mg,CUTIE CU 2 BLIST. PVC/AL X 10 CAPS.,SANIENCE S.R.L.,ROMANIA,20,2590,1295000,0073334,0195501,
PENTOXI RETARD 400 mg,PENTOXIFYLLINUM,A,W13574002,COMPR. ELIB. PREL.,C04AD03,P-6L,400mg,CUTIE X 4 BLIST. X 10 COMPR. CU ELIB. PREL.,TERAPIA SA,ROMANIA,40,2492,0623000,0262451,0298506,
PENTOXIFILINA SR ZENTIVA 400 mg,PENTOXIFYLLINUM,A,W53002004,COMPR. ELIB. PREL.,C04AD03,P-6L,400mg,CUTIE X 2 BLIST. PVC-PVDC/AL X 10 COMPR. FILM. ELIB. PREL.,ZENTIVA AS,SLOVACIA,20,721,0360500,0000000,0036050,
PENTOXIFILINA SR ZENTIVA 400 mg,PENTOXIFYLLINUM,A,W53002005,COMPR. ELIB. PREL.,C04AD03,P-6L,400mg,CUTIE X 5 BLIST. PVC-PVDC/AL X 10 COMPR. FILM. ELIB. PREL.,ZENTIVA AS,SLOVACIA,50,1803,0360600,0000051,0036106,
ANGIOPENT 400 mg,PENTOXIFYLLINUM,A,W13301002,COMPR. ELIB. PREL.,C04AD03,P-6L,400mg,CUTIE CU 4 BLIST. PVC/AL X 10 COMPR. ELIB. PREL.,AC HELCOR PHARMA SRL,ROMANIA,40,2465,0616250,0255701,0291756,
ANGIOPENT RETARD 400 mg,PENTOXIFYLLINUM,A,W66977002,COMPR. ELIB. PREL.,C04AD03,P6L,400mg,CUTIE CU 4 BLIST. PVC/AL X 10 COMPR. ELIB. PREL.,AC HELCOR PHARMA S.R.L.,ROMANIA,40,2465,0616250,0255701,0291756,
PENTOXIFILINA SR ZENTIVA 600 mg,PENTOXIFYLLINUM,A,W53506005,COMPR. ELIB. PREL.,C04AD03,P-6L,600mg,CUTIE X 5 BLIST. PVC-PVDC/AL X 10 COMPR. FILM. ELIB. PREL.,ZENTIVA AS,SLOVACIA,50,2518,0503600,0000000,0050360,
PENTOXIFILINA SR ZENTIVA 600 mg,PENTOXIFYLLINUM,A,W53506006,COMPR. ELIB. PREL.,C04AD03,P-6L,600mg,CUTIE X 10 BLIST. PVC-PVDC/AL X 10 COMPR. FILM. ELIB. PREL.,ZENTIVA AS,SLOVACIA,100,4873,0487300,0000000,0048730,
VASONIT RETARD 600 mg,PENTOXIFYLLINUM,A,W54452002,COMPR. ELIB. PREL.,C04AD03,P-6L,600mg,CUTIE X 5 BLIST. PVC/AL X 10 COMPR. ELIB. PREL.,LANNACHER HEILMITTEL GES.M.B.H.,AUSTRIA,50,3620,0724000,0183176,0237259,
ANGIOPENT 400 mg,PENTOXIFYLLINUM,A,W13301001,COMPR. FILM. ELIB. PREL.,C04AD03,P-6L,400mg,CUTIE X 2 BLIST. AL/PVC X 10 COMPR. FILM. ELIB. PREL.,AC HELCOR PHARMA SRL,ROMANIA,20,1912,0956000,0595451,0631506,
OXIFLUX 400 mg,PENTOXIFYLLINUM,A,W53123003,COMPR. FILM. ELIB. PREL.,C04AD03,P-6L,400mg,CUTIE X 6 BLIST. AL/PVC X 10 COMPR. FILM. ELIB. PREL,LABORMED PHARMA S.A.,ROMANIA,60,3617,0602833,0242284,0278339,
ANGIOPENT 600 mg,PENTOXIFYLLINUM,A,W13302001,COMPR. FILM. ELIB. PREL.,C04AD03,P-6L,600mg,"CUTIE X 2 BLIST., AL/PVC X 10 COMPR. FILM. ELIB. PREL.",AC HELCOR PHARMA SRL,ROMANIA,20,1761,0880500,0339676,0393759,
PROPRANOLOL BIOEEL 10 mg,PROPRANOLOLUM,A,W56674001,COMPR.,C07AA05,P6L,10 mg,CUTIE CU 2 BLIST. PVC/AL X 25 COMPR.,BIO EEL S.R.L.,ROMANIA,50,438,0087600,0060000,0062760,
PROPRANOLOL 10 mg,PROPRANOLOLUM,A,W08683002,COMPR.,C07AA05,P-6L,10mg,CUTIE X 5 BLIST. AL/PVC X 10 COMPR.,SINTOFARM SA,ROMANIA,50,438,0087600,0060000,0062760,
PROPRANOLOL BIOEEL 40 mg,PROPRANOLOLUM,A,W12724002,COMPR.,C07AA05,P-6L,40mg,CUTIE X 5 BLIST. AL/PVC X 10 COMPR.,BIO EEL SRL,ROMANIA,50,552,0110400,0000000,0011040,
PROPRANOLOL 40 mg,PROPRANOLOLUM,A,W08684002,COMPR.,C07AA05,P-6L,40mg,CUTIE X 5 BLIST. AL/PVC X 10 COMPR.,SINTOFARM SA,ROMANIA,50,552,0110400,0000000,0011040,
PROPRANOLOL ARENA 40 mg,PROPRANOLOLUM,A,W53681002,COMPR.,C07AA05,P-6L,40mg,CUTIE X 5 BLIST. AL/PVC X 10 COMPR.,ARENA GROUP SA,ROMANIA,50,552,0110400,0000000,0011040,
SOTAGAMMA 80 mg,SOTALOLUM,A,W41673003,COMPR.,C07AA07,P-6L,80mg,CUTIE X 10 BLIST. AL/PVC-PVDC X 10 COMPR.,WORWAG PHARMA GMBH & CO. KG,GERMANIA,100,3488,0348800,0128000,0150080,
SOTALOL AL 80,SOTALOLUM,A,W08420005,COMPR.,C07AA07,P-6L,80mg,CUTIE X 5 BLIST. AL/PVC X 10 COMPR.,ALIUD PHARMA GMBH,GERMANIA,50,1941,0388200,0167400,0189480,
DAROB 80 mg,SOTALOLUM,A,W62335001,COMPR.,C07AA07,P6L,80mg,CUTIE CU 2 BLIST. PVC/AL X 10 COMPR.,MYLAN HEALTHCARE GMBH,GERMANIA,20,1116,0558000,0337200,0359280,
BETAPROL 100 mg,METOPROLOLUM,A,W04263002,COMPR.,C07AB02,P-6L,100mg,CUTIE X 3 BLIST. AL/PVC X 10 COMPR.,AC HELCOR PHARMA SRL,ROMANIA,30,951,0317000,0048801,0075621,
EGILOK 100 mg,METOPROLOLUM,A,W04266001,COMPR.,C07AB02,P-6L,100mg,"CUTIE X, 1 FLAC. DIN STICLA BRUNA X 20 COMPR.",EGIS PHARMACEUTICALS P.L.C.,UNGARIA,20,635,0317500,0049301,0076121,
METOPROLOL LPH 100 mg,METOPROLOLUM,A,W07222003,COMPR.,C07AB02,P-6L,100mg,CUTIE X 3 BLIST. AL/PVC X 10 COMPR.,LABORMED PHARMA SA,ROMANIA,30,951,0317000,0048801,0075621,
METOPROLOL 100 mg,METOPROLOLUM,A,W42176001,COMPR.,C07AB02,P-6L,100mg,CUTIE X 3 BLIST. AL/PVC X 10 COMPR.,MAGISTRA C & C SRL,ROMANIA,30,951,0317000,0048801,0075621,
METOPROLOL TERAPIA 100 mg,METOPROLOLUM,A,W52230001,COMPR.,C07AB02,P-6L,100mg,CUTIE X 3 BLIST. AL/PVC X 10 COMPR.,TERAPIA SA,ROMANIA,30,951,0317000,0048801,0075621,
METOPROLOL VIM SPECTRUM 100 mg,METOPROLOLUM,A,W53669001,COMPR.,C07AB02,P-6L,100mg,CUTIE X 2 BLIST. AL/PVC X 10 COMPR.,VIM SPECTRUM SRL,ROMANIA,20,635,0317500,0049301,0076121,
METOPROLOL ARENA 100 MG,METOPROLOLUM,A,W53941002,COMPR.,C07AB02,P-6L,100mg,CUTIE X 3 BLIST. AL/PVC X 10 COMPR.,ARENA GROUP SA,ROMANIA,30,940,0313333,0045134,0071954,
METOPROLOL SLAVIA 100 mg,METOPROLOLUM,A,W57206001,COMPR.,C07AB02,P-6L,100mg,CUTIE CU 2 BLIST. PVC/AL X 10 COMPR.,SLAVIA PHARMA S.R.L.,ROMANIA,20,616,0308000,0039801,0066621,
METOPROLOL AL 100,METOPROLOLUM,A,W59297001,COMPR.,C07AB02,P-6L,100mg,CUTIE X 3 BLIST. DIN PVC-PVDC/AL X 10 COMPR.,ALIUD PHARMA GMBH,GERMANIA,30,656,0218666,0000000,0021867,
METOPROLOL 25 mg,METOPROLOLUM,A,W42025001,COMPR.,C07AB02,P-6L,25mg,CUTIE X 3 BLIST. AL/PVC X 10 COMPR.,MAGISTRA C & C SRL,ROMANIA,30,447,0149000,0081951,0088656,
METOPROLOL ARENA 25 MG,METOPROLOLUM,A,W53922001,COMPR.,C07AB02,P-6L,25mg,CUTIE X 3 BLIST. AL/PVC X 10 COMPR.,ARENA GROUP S.A.,ROMANIA,30,462,0154000,0086951,0093656,
METOPROLOL LPH 25 mg,METOPROLOLUM,A,W42973003,COMPR.,C07AB02,P-6L,25mg,CUTIE X 3 BLIST. AL/PVC X 20 COMPR.,LABORMED PHARMA SA,ROMANIA,60,957,0159500,0092451,0099156,
BETAPROL 50 mg,METOPROLOLUM,A,W04264002,COMPR.,C07AB02,P-6L,50mg,CUTIE X 3 BLIST. AL/PVC X 10 COMPR.,AC HELCOR PHARMA SRL,ROMANIA,30,783,0261000,0126901,0140311,
EGILOK 50 mg,METOPROLOLUM,A,W04268001,COMPR.,C07AB02,P-6L,50mg,CUTIE X 1 FLAC. DIN STICLA BRUNA X 20 COMPR.,EGIS PHARMACEUTICALS P.L.C.,UNGARIA,20,367,0183500,0049401,0062811,
METOPROLOL LPH 50 mg,METOPROLOLUM,A,W07223003,COMPR.,C07AB02,P-6L,50mg,CUTIE X 3 BLIST. AL/PVC X 10 COMPR.,LABORMED PHARMA SA,ROMANIA,30,783,0261000,0126901,0140311,
METOPROLOL 50 mg,METOPROLOLUM,A,W42197001,COMPR.,C07AB02,P-6L,50mg,CUTIE X 3 BLIST. AL/PVC X 10 COMPR.,MAGISTRA C & C SRL,ROMANIA,30,769,0256333,0122234,0135644,
METOPROLOL TERAPIA 50 mg,METOPROLOLUM,A,W52231001,COMPR.,C07AB02,P-6L,50mg,CUTIE X 3 BLIST. AL/PVC X 10 COMPR.,TERAPIA SA,ROMANIA,30,783,0261000,0126901,0140311,
METOPROLOL VIM SPECTRUM 50 mg,METOPROLOLUM,A,W53670001,COMPR.,C07AB02,P-6L,50mg,CUTIE X 2 BLIST. AL/PVC X 10 COMPR.,VIM SPECTRUM SRL,ROMANIA,20,370,0185000,0050901,0064311,
METOPROLOL ARENA 50 MG,METOPROLOLUM,A,W53940001,COMPR.,C07AB02,P-6L,50mg,CUTIE X 3 BLIST. AL/PVC X 10 COMPR.,ARENA GROUP S.A.,ROMANIA,30,576,0192000,0057901,0071311,
METOPROLOL SLAVIA 50 mg,METOPROLOLUM,A,W57205001,COMPR.,C07AB02,P-6L,50mg,CUTIE CU 2 BLIST. PVC/AL X 10 COMPR.,SLAVIA PHARMA S.R.L.,ROMANIA,20,522,0261000,0126901,0140311,
METOPROLOL ZENTIVA 50 mg,METOPROLOLUM,A,W61714001,COMPR.,C07AB02,P6L,50mg,CUTIE CU 3 BLIST. DIN PVC/AL X 10 COMPRIMATE,ZENTIVA S.A.,ROMANIA,30,767,0255666,0121567,0134977,
"METOSUCCINAT SANDOZ 47,5 mg",METOPROLOLUM,A,W43226010,COMPR. ELIB. MODIF.,C07AB02,P-6L,"47,5mg",CUTIE CU 3 BLIST. PP/AL X 10 COMPR. ELIB. MODIF.,HEXAL AG,GERMANIA,30,693,0231000,0103606,0116346,
METOSUCCINAT SANDOZ 95 mg,METOPROLOLUM,A,W43227010,COMPR. ELIB. MODIF.,C07AB02,P-6L,95mg,CUTIE CU 3 BLIST. PP/AL X 10 COMPR. ELIB. MODIF.,HEXAL AG,GERMANIA,30,1094,0364666,0109877,0135356,
BETALOC ZOK 100 mg,METOPROLOLUM,A,W66032001,COMPR. ELIB. PREL.,C07AB02,P6L,100mg,CUTIE CU 1 FLAC. PEID X 30 COMPR. ELIB. PREL.,RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA S.P.A.,ITALIA,30,1465,0488333,0220134,0246954,
BETALOC ZOK 50 mg,METOPROLOLUM,A,W66033001,COMPR. ELIB. PREL.,C07AB02,P6L,50mg,CUTIE CU 1 FLAC. PEID X 30 COMPR. ELIB. PREL.,RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA S.P.A.,ITALIA,30,1162,0387333,0253234,0266644,
METOPROLOL TARTRAT AUROBINDO 100 mg,METOPROLOLUM,A,W59569003,COMPR. FILM.,C07AB02,P6L,100mg,CUTIE CU BLIST. PVC-PVDC/AL X 30 COMPR. FILM.,AUROBINDO PHARMA (MALTA) LIMITED,MALTA,30,951,0317000,0048801,0075621,
METOPROLOL TARTRAT AUROBINDO 100 mg,METOPROLOLUM,A,W66454003,COMPR. FILM.,C07AB02,P6L,100mg,CUTIE CU BLIST. PVC-PVDC/AL X 30 COMPR. FILM.,AUROBINDO PHARMA ROMANIA S.R.L.,ROMANIA,30,951,0317000,0048801,0075621,
METOPROLOL TARTRAT AUROBINDO 50 mg,METOPROLOLUM,A,W59568003,COMPR. FILM.,C07AB02,P6L,50mg,CUTIE CU BLIST. PVC-PVDC/AL X 30 COMPR. FILM.,AUROBINDO PHARMA (MALTA) LIMITED,MALTA,30,783,0261000,0126901,0140311,
METOPROLOL TARTRAT AUROBINDO 50 mg,METOPROLOLUM,A,W66453003,COMPR. FILM.,C07AB02,P6L,50mg,CUTIE CU BLIST. PVC-PVDC/AL X 30 COMPR. FILM.,AUROBINDO PHARMA ROMANIA S.R.L.,ROMANIA,30,783,0261000,0126901,0140311,
"METOSUCCINAT SANDOZ 47,5 mg",METOPROLOLUM,A,W43226004,COMPR.FILM.ELIB.MOD.,C07AB02,P-6L,"47,5mg",CUTIE X 3 BLIST. ACLAR-PVC/AL X 10 COMPR. FILM. ELIB. MODIF.,HEXAL AG,GERMANIA,30,693,0231000,0103606,0116346,
